Studio,Populariy,Rating,Unique anime
Magic Bus,5,4.2,5
Ryuu M's,2,4.0,2
Studio 9 Maiami,3,6.0,3
BreakBottle,1,4.0,1
Mouse,1,4.0,1
Collaboration Works,1,6.0,1
Office Takeout,1,4.0,1
Gaina,2,6.0,2
Studio Live,1,7.0,1
D.A.S.T Corporation,1,3.0,1
SANZIGEN,2,7.5,2
Phoenix Entertainment,2,5.0,2
Agent 21,1,1.0,1
Studio Kikan,1,7.0,1
animate Film,1,6.0,1
Qubic Pictures,1,6.0,1
Square Enix Visual Works,1,3.0,1
Square Pictures,1,6.0,1
W-Toon Studio,1,2.0,1
Studio Signal,1,6.0,1
Dynamic Planning,1,4.0,1
EKACHI EPILKA,1,5.0,1
E&G Films,3,7.667,3
AIC ASTA,2,6.0,2
Plum,1,4.0,1
Lesprit,1,6.0,1
Studio 88,2,3.5,2
Studio Daisy,1,8.0,1
Kitty Film Mitaka Studio,2,8.5,2
Mushi Production,1,7.0,1
Eiken,1,1.0,1
Pastel,1,7.0,1
The Answer Studio,1,4.0,1
