Name,User Populariy,User Rating,Global Popularity,Global Rating,misc
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8,6.375,841629,8.44,100
Saiki Kusuo no Ψ-nan,9,7.889,1059632,8.41,101
Saiki Kusuo no Ψ-nan 2,7,7.857,617259,8.42,102
Sakamoto desu ga?,8,6.75,750887,7.55,103
Sakura-sou no Pet na Kanojo,6,7.0,1220089,8.08,104
Samurai Champloo,12,8.167,1204819,8.51,105
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,12,6.25,1671725,8.24,106
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,7,7.429,680835,8.60,107
Sen to Chihiro no Kamikakushi,14,8.214,1791990,8.78,108
Shingeki no Kyojin,22,7.818,3807661,8.54,109
Shingeki no Kyojin Season 2,20,8.1,2615007,8.51,110
Shingeki no Kyojin Season 3,20,7.8,2260704,8.62,111
Shingeki no Kyojin Season 3 Part 2,19,9.0,2158366,9.05,112
Shingeki no Kyojin: The Final Season,16,8.125,1892394,8.79,113
Shingeki no Kyojin: The Final Season Part 2,16,7.812,1179623,8.77,114
Spy x Family,15,7.133,1416370,8.59,115
Sword Art Online,11,6.364,2990941,7.20,116
Sword Art Online II,9,5.0,1927191,6.71,117
Sword Art Online Movie: Ordinal Scale,5,5.2,708750,7.56,118
Sword Art Online: Alicization,6,6.5,1010655,7.56,119
Sword Art Online: Alicization - War of Underworld,6,5.333,731827,7.58,120
Sword Art Online: Alicization - War of Underworld 2nd Season,4,5.5,587459,7.48,121
Tanaka-kun wa Itsumo Kedaruge,2,7.5,451244,7.83,122
Tengen Toppa Gurren Lagann,11,8.091,1568821,8.63,123
Tensei shitara Slime Datta Ken,14,6.071,1370679,8.14,124
Tensei shitara Slime Datta Ken 2nd Season,10,6.0,899692,8.39,125
Tensei shitara Slime Datta Ken 2nd Season Part 2,10,6.4,706081,8.33,126
Tokyo Revengers,12,5.667,1187433,7.97,127
Tonikaku Kawaii,5,6.6,710255,7.89,128
Tonikaku Kawaii: SNS,2,5.0,146321,8.06,129
Utsu Musume Sayuri,5,3.0,21037,1.99,130
Uzaki-chan wa Asobitai!,4,5.5,459268,7.00,131
Vinland Saga,17,8.765,1414463,8.74,132
Wotaku ni Koi wa Muzukashii,6,7.667,947942,7.94,133
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,6,7.333,1393422,8.01,134
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,4,7.25,700069,8.36,135
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,4,8.0,1032611,8.21,136
Yakusoku no Neverland,15,8.533,1900852,8.51,137
Yakusoku no Neverland 2nd Season,12,3.917,897298,5.29,138
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,13,6.385,1186489,7.86,139
Yuukoku no Moriarty,5,7.2,403739,8.17,140
Yuukoku no Moriarty Part 2,5,6.6,236618,8.28,141
Zankyou no Terror,9,7.556,1135978,8.09,142
Beelzebub,5,5.8,584169,7.86,143
Boku no Hero Academia the Movie 3: World Heroes' Mission,5,4.2,233644,7.58,144
Danshi Koukousei no Nichijou,5,7.0,803140,8.23,145
Darling in the FranXX,15,4.533,1593546,7.20,146
Enen no Shouboutai,12,5.917,1280806,7.71,147
Himouto! Umaru-chan,6,4.333,674862,7.11,148
Kaifuku Jutsushi no Yarinaoshi,5,3.8,558334,6.34,149
Kimi ni Todoke 2nd Season,1,2.0,462352,7.98,150
Nanbaka,2,4.5,325213,7.33,151
One Piece,11,7.0,2238639,8.71,152
Sono Bisque Doll wa Koi wo Suru,13,6.385,979550,8.22,153
Tokyo Ghoul,17,6.353,2738818,7.79,154
Tomodachi Game,11,5.909,354596,7.72,155
Bleach: Sennen Kessen-hen,11,7.273,481887,9.05,156
Shingeki no Kyojin: The Final Season - Kanketsu-hen,5,7.6,481368,9.03,157
86,11,6.727,717328,8.29,158
86 Part 2,10,6.7,455441,8.71,159
Ajin,4,7.5,576481,7.39,160
Ajin OVA,2,6.5,44998,7.18,161
Ajin Part 2,4,7.25,289845,7.58,162
Ajin Part 2 OVA,2,6.5,15769,7.03,163
Akudama Drive,3,7.333,415277,7.59,164
Angel Beats!,7,5.0,2031504,8.06,165
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,10,7.2,1572048,8.31,166
Bakemonogatari,10,7.8,1370163,8.33,167
Black Clover: Mahou Tei no Ken,5,6.8,193558,8.08,168
Bubble,6,6.333,195126,7.26,169
Byousoku 5 Centimeter,6,6.333,921666,7.57,170
Chainsaw Man,19,7.526,1359616,8.55,171
Cyberpunk: Edgerunners,17,7.529,639512,8.60,172
Death Parade,14,7.643,1716563,8.15,173
Dr. Stone: Ryuusui,7,7.429,251547,8.21,174
Elfen Lied,9,6.667,1479245,7.48,175
Evangelion: 1.0 You Are (Not) Alone,7,7.857,548145,8.00,176
Evangelion: 2.0 You Can (Not) Advance,7,7.857,526790,8.30,177
Evangelion: 3.0 You Can (Not) Redo,7,6.571,430567,7.64,178
Evangelion: 3.0+1.0 Thrice Upon a Time,6,8.167,357313,8.60,179
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,6,7.833,439959,8.17,180
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,6,8.667,373479,8.49,181
Fate/stay night Movie: Heaven's Feel - III. Spring Song,6,9.0,333287,8.67,182
Fate/stay night: Unlimited Blade Works,7,7.0,1040406,8.18,183
Fate/stay night: Unlimited Blade Works 2nd Season,7,7.286,832123,8.32,184
Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,3,6.667,110323,7.46,185
Fate/stay night: Unlimited Blade Works Prologue,3,8.0,313451,8.04,186
Fate/Zero,10,7.1,1466450,8.28,187
Fate/Zero 2nd Season,10,7.9,1089752,8.55,188
Fumetsu no Anata e,8,7.25,831686,8.35,189
Gantz:O,3,7.0,97274,7.41,190
Goblin Slayer,8,6.875,1070137,7.42,191
Gyakkyou Burai Kaiji: Ultimate Survivor,5,8.2,344229,8.27,192
Haibane Renmei,6,7.167,277614,7.97,193
Hellsing Ultimate,9,6.889,902441,8.35,194
Hotaru no Haka,8,7.125,650967,8.51,195
Hotarubi no Mori e,5,7.4,802745,8.28,196
Houseki no Kuni,8,7.625,443856,8.39,197
Houseki no Kuni PV,1,7.0,17689,6.62,198
Howl no Ugoku Shiro,9,7.333,1281697,8.66,199
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,9,6.556,225780,8.10,200
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,9,7.556,169104,8.61,201
Jujutsu Kaisen 0 Movie,15,6.933,786683,8.47,202
Kakegurui,9,5.778,1436321,7.24,203
"Kanojo, Okarishimasu",10,4.6,946599,7.04,204
Kara no Kyoukai Movie 1: Fukan Fuukei,5,5.8,417365,7.57,205
